import time: self [us] | cumulative | imported package
import time:        67 |         67 | winreg
import time:       150 |        150 |   _io
import time:        21 |         21 |   marshal
import time:        97 |         97 |   nt
import time:       200 |        467 | _frozen_importlib_external
import time:       197 |        197 |   time
import time:        61 |        257 | zipimport
import time:        27 |         27 |     _codecs
import time:       192 |        219 |   codecs
import time:       434 |        434 |   encodings.aliases
import time:       683 |       1334 | encodings
import time:       194 |        194 | encodings.utf_8
import time:       197 |        197 | encodings.cp1252
import time:        27 |         27 | _signal
import time:        19 |         19 |     _abc
import time:        71 |         90 |   abc
import time:        88 |        177 | io
import time:        29 |         29 |       _stat
import time:        34 |         63 |     stat
import time:       407 |        407 |     _collections_abc
import time:        21 |         21 |       genericpath
import time:        51 |         51 |       _winapi
import time:        39 |        111 |     ntpath
import time:       144 |        724 |   os
import time:        37 |         37 |   _sitebuiltins
import time:       352 |        352 |     __future__
import time:       112 |        112 |         itertools
import time:       193 |        193 |         keyword
import time:        41 |         41 |           _operator
import time:       306 |        347 |         operator
import time:       198 |        198 |         reprlib
import time:        39 |         39 |         _collections
import time:       605 |       1491 |       collections
import time:       262 |        262 |         types
import time:        38 |         38 |         _functools
import time:       497 |        795 |       functools
import time:       414 |       2699 |     contextlib
import time:       785 |       3835 |   _virtualenv
import time:       357 |        357 |     pywin32_system32
import time:       784 |       1141 |   pywin32_bootstrap
import time:       216 |        216 |   sitecustomize
import time:      1791 |       7742 | site
import time:      1988 |       1988 |       _ctypes
import time:        45 |         45 |         _struct
import time:       230 |        275 |       struct
import time:       330 |        330 |       ctypes._endian
import time:       697 |       3289 |     ctypes
import time:       249 |        249 |       collections.abc
import time:       206 |        206 |       copyreg
import time:       937 |        937 |         enum
import time:        52 |         52 |           _sre
import time:       270 |        270 |             re._constants
import time:       298 |        567 |           re._parser
import time:       159 |        159 |           re._casefix
import time:       351 |       1128 |         re._compiler
import time:       417 |       2482 |       re
import time:       299 |        299 |       warnings
import time:        23 |         23 |       _typing
import time:      1922 |       5179 |     typing
import time:       399 |       8865 |   polars._cpu_check
import time:      2376 |       2376 |   polars.polars
import time:        42 |         42 |             math
import time:        22 |         22 |               _bisect
import time:       215 |        237 |             bisect
import time:        21 |         21 |             _random
import time:        20 |         20 |             _sha2
import time:       389 |        707 |           random
import time:       241 |        241 |                 posix
import time:        41 |        281 |               posixpath
import time:       218 |        499 |             fnmatch
import time:        38 |         38 |             errno
import time:       201 |        201 |               urllib
import time:       811 |        811 |               ipaddress
import time:       755 |       1767 |             urllib.parse
import time:       563 |       2866 |           pathlib
import time:       113 |        113 |                         _datetime
import time:       219 |        332 |                       datetime
import time:       371 |        371 |                           numbers
import time:       566 |        937 |                         _decimal
import time:       209 |       1145 |                       decimal
import time:       354 |        354 |                       polars._utils.constants
import time:       271 |        271 |                         importlib
import time:       231 |        231 |                           importlib._abc
import time:        78 |        309 |                         importlib.util
import time:      2637 |       3216 |                       polars.dependencies
import time:       353 |       5399 |                     polars._utils.convert
import time:       226 |        226 |                     polars._utils.scan
import time:       588 |        588 |                           _ast
import time:       882 |       1469 |                         ast
import time:        31 |         31 |                             _opcode
import time:       360 |        390 |                           opcode
import time:       657 |       1047 |                         dis
import time:        36 |         36 |                         importlib.machinery
import time:       218 |        218 |                             token
import time:        25 |         25 |                             _tokenize
import time:       636 |        877 |                           tokenize
import time:       234 |       1111 |                         linecache
import time:      1823 |       5485 |                       inspect
import time:       776 |        776 |                         polars.datatypes.classes
import time:       322 |        322 |                         polars.datatypes.constants
import time:       291 |        291 |                         polars.datatypes.constructor
import time:       366 |        366 |                         polars.datatypes.convert
import time:      1455 |       1455 |                         polars.type_aliases
import time:       375 |       3582 |                       polars.datatypes
import time:       448 |       9514 |                     polars._utils.various
import time:       241 |      15378 |                   polars._utils
import time:       342 |        342 |                   polars.exceptions
import time:       332 |      16050 |                 polars._utils.deprecation
import time:       269 |        269 |                 polars._utils.parse_expr_input
import time:       223 |        223 |                 polars._utils.wrap
import time:       387 |      16927 |               polars.functions.aggregation.horizontal
import time:       317 |        317 |               polars.functions.aggregation.vertical
import time:       343 |      17587 |             polars.functions.aggregation
import time:       351 |        351 |             polars.functions.as_datatype
import time:       296 |        296 |             polars.functions.business
import time:       312 |        312 |             polars.functions.col
import time:       368 |        368 |             polars.functions.eager
import time:       357 |        357 |               polars._utils.async_
import time:       231 |        231 |               polars._utils.unstable
import time:       634 |       1222 |             polars.functions.lazy
import time:       267 |        267 |             polars.functions.len
import time:       319 |        319 |             polars.functions.lit
import time:       249 |        249 |             polars.functions.random
import time:       222 |        222 |                 polars.functions.range._utils
import time:       365 |        586 |               polars.functions.range.date_range
import time:       292 |        292 |               polars.functions.range.datetime_range
import time:       290 |        290 |               polars.functions.range.int_range
import time:       274 |        274 |               polars.functions.range.time_range
import time:       271 |       1711 |             polars.functions.range
import time:       308 |        308 |             polars.functions.repeat
import time:       295 |        295 |             polars.functions.whenthen
import time:       401 |      23680 |           polars.functions
import time:       252 |        252 |               polars._utils.construction.utils
import time:       255 |        255 |                   polars._utils.polars_version
import time:       289 |        544 |                 polars.meta.build
import time:       230 |        230 |                 polars.meta.index_type
import time:       219 |        219 |                 polars.meta.thread_pool
import time:       210 |        210 |                 polars.meta.versions
import time:       255 |       1456 |               polars.meta
import time:       300 |        300 |                 _weakrefset
import time:       361 |        660 |               weakref
import time:       527 |       2894 |             polars._utils.construction.dataframe
import time:       243 |        243 |             polars._utils.construction.other
import time:       314 |        314 |             polars._utils.construction.series
import time:       279 |       3729 |           polars._utils.construction
import time:       246 |        246 |             polars.slice
import time:       304 |        550 |           polars._utils.getitem
import time:       663 |        663 |             textwrap
import time:       271 |        933 |           polars.dataframe._html
import time:       415 |        415 |           polars.dataframe.group_by
import time:       327 |        327 |                 polars.expr.array
import time:       243 |        243 |                 polars.expr.binary
import time:       272 |        272 |                 polars.expr.categorical
import time:       500 |        500 |                 polars.expr.datetime
import time:       268 |        268 |                   copy
import time:       490 |        758 |                 polars.expr.list
import time:       349 |        349 |                 polars.expr.meta
import time:       271 |        271 |                 polars.expr.name
import time:       607 |        607 |                 polars.expr.string
import time:       272 |        272 |                 polars.expr.struct
import time:      1894 |       5488 |               polars.expr.expr
import time:       318 |        318 |               polars.expr.whenthen
import time:       252 |       6057 |             polars.expr
import time:       487 |       6544 |           polars.selectors
import time:      1981 |      41402 |         polars.dataframe.frame
import time:       251 |      41652 |       polars.dataframe
import time:       383 |        383 |           polars.lazyframe.group_by
import time:       232 |        232 |           polars.lazyframe.in_process
import time:      1049 |       1663 |         polars.lazyframe.frame
import time:       267 |       1930 |       polars.lazyframe
import time:       268 |        268 |             polars.series.utils
import time:       544 |        811 |           polars.series.array
import time:       308 |        308 |           polars.series.binary
import time:       281 |        281 |           polars.series.categorical
import time:       770 |        770 |           polars.series.datetime
import time:       716 |        716 |           polars.series.list
import time:       902 |        902 |           polars.series.string
import time:       325 |        325 |           polars.series.struct
import time:      2544 |       6654 |         polars.series.series
import time:       258 |       6912 |       polars.series
import time:       243 |      50735 |     polars._reexport
import time:       379 |      51114 |   polars.api
import time:       262 |        262 |   polars.plugins
import time:       412 |        412 |   polars.config
import time:       333 |        333 |   polars.convert
import time:       299 |        299 |         glob
import time:       249 |        547 |       polars.io._utils
import time:       288 |        835 |     polars.io.avro
import time:       197 |        197 |             polars.io.csv._utils
import time:       323 |        519 |           polars.io.csv.batched_reader
import time:       490 |        490 |           polars.io.csv.functions
import time:       229 |       1237 |         polars.io.csv
import time:        24 |       1260 |       polars.io.csv.functions
import time:       223 |       1483 |     polars.io.clipboard
import time:       222 |        222 |           polars.io.database._utils
import time:       253 |        474 |         polars.io.database._cursor_proxies
import time:       281 |        281 |           polars.io.database._arrow_registry
import time:       269 |        269 |           polars.io.database._inference
import time:       333 |        882 |         polars.io.database._executor
import time:       319 |       1674 |       polars.io.database.functions
import time:       261 |       1934 |     polars.io.database
import time:       205 |        205 |           polars.io.pyarrow_dataset.anonymous_scan
import time:       310 |        515 |         polars.io.pyarrow_dataset.functions
import time:       224 |        738 |       polars.io.pyarrow_dataset
import time:       233 |        970 |     polars.io.delta
import time:       282 |        282 |     polars.io.iceberg
import time:       522 |        522 |         polars.io.ipc.anonymous_scan
import time:       378 |        900 |       polars.io.ipc.functions
import time:       231 |       1130 |     polars.io.ipc
import time:       254 |        254 |     polars.io.json
import time:       249 |        249 |     polars.io.ndjson
import time:       376 |        376 |       polars.io.parquet.functions
import time:       235 |        610 |     polars.io.parquet
import time:       482 |        482 |       polars.io.spreadsheet.functions
import time:       521 |       1002 |     polars.io.spreadsheet
import time:       287 |       9032 |   polars.io
import time:       398 |        398 |     polars.sql.context
import time:       273 |        273 |     polars.sql.functions
import time:       277 |        948 |   polars.sql
import time:       286 |        286 |   polars.string_cache
import time:       770 |      74394 | polars
import time:       654 |        654 |     _wmi
import time:       521 |       1175 |   platform
import time:       398 |        398 |     packaging
import time:       230 |        230 |     packaging._structures
import time:      1315 |       1942 |   packaging.version
import time:       368 |        368 |       pkgutil
import time:       802 |       1170 |     PyQt5
import time:        37 |         37 |       atexit
import time:       330 |        366 |     PyQt5.sip
import time:      5057 |       6592 |   PyQt5.QtCore
import time:        60 |         60 |     PyQt5.QtDataVisualization
import time:       512 |        572 |   qtpy.QtDataVisualization
import time:       617 |      10897 | qtpy
import time:       233 |        233 |   qtpy._utils
import time:      2975 |       2975 |     PyQt5.QtGui
import time:      5387 |       8361 |   PyQt5.QtWidgets
import time:       525 |       9118 | qtpy.QtWidgets
import time:       482 |        482 |   dabbler
import time:       341 |        341 |   qtpy.QtCore
import time:       350 |        350 |   qtpy.QtGui
import time:       694 |       1865 | dabbler.gui_table
